"subject" "activity" "tbodyacc-mean-x" "tbodyacc-mean-y" "tbodyacc-mean-z" "tbodyacc-std-x" "tbodyacc-std-y" "tbodyacc-std-z" "tgravityacc-mean-x" "tgravityacc-mean-y" "tgravityacc-mean-z" "tgravityacc-std-x" "tgravityacc-std-y" "tgravityacc-std-z" "tbodyaccjerk-mean-x" "tbodyaccjerk-mean-y" "tbodyaccjerk-mean-z" "tbodyaccjerk-std-x" "tbodyaccjerk-std-y" "tbodyaccjerk-std-z" "tbodygyro-mean-x" "tbodygyro-mean-y" "tbodygyro-mean-z" "tbodygyro-std-x" "tbodygyro-std-y" "tbodygyro-std-z" "tbodygyrojerk-mean-x" "tbodygyrojerk-mean-y" "tbodygyrojerk-mean-z" "tbodygyrojerk-std-x" "tbodygyrojerk-std-y" "tbodygyrojerk-std-z" "tbodyaccmag-mean" "tbodyaccmag-std" "tgravityaccmag-mean" "tgravityaccmag-std" "tbodyaccjerkmag-mean" "tbodyaccjerkmag-std" "tbodygyromag-mean" "tbodygyromag-std" "tbodygyrojerkmag-mean" "tbodygyrojerkmag-std" "fbodyacc-mean-x" "fbodyacc-mean-y" "fbodyacc-mean-z" "fbodyacc-std-x" "fbodyacc-std-y" "fbodyacc-std-z" "fbodyaccjerk-mean-x" "fbodyaccjerk-mean-y" "fbodyaccjerk-mean-z" "fbodyaccjerk-std-x" "fbodyaccjerk-std-y" "fbodyaccjerk-std-z" "fbodygyro-mean-x" "fbodygyro-mean-y" "fbodygyro-mean-z" "fbodygyro-std-x" "fbodygyro-std-y" "fbodygyro-std-z" "fbodyaccmag-mean" "fbodyaccmag-std" "fbodybodyaccjerkmag-mean" "fbodybodyaccjerkmag-std" "fbodybodygyromag-mean" "fbodybodygyromag-std" "fbodybodygyrojerkmag-mean" "fbodybodygyrojerkmag-std"
1 "walking" 0.27327094208608 -0.0177306653093555 -0.108975121165071 -0.647963964694347 -0.563512622741034 -0.651926710388144 0.559303646918889 0.0832307871593935 0.18022248300263 -0.960673601766533 -0.954208188012094 -0.936936811253562 0.079223097665243 0.00938925916653562 -0.00632705607929814 -0.673114306343453 -0.64251500475582 -0.791761274589733 -0.029992422704268 -0.0795161317350855 0.0938822138040226 -0.750296308123895 -0.712483251508093 -0.689931367912189 -0.0962817539605283 -0.0431369047996781 -0.0564324581052094 -0.752730298117428 -0.812221477507855 -0.769207858231969 -0.594484403161749 -0.627964031107993 -0.594484403161749 -0.627964031107993 -0.684826387173222 -0.663319796882769 -0.642594088797826 -0.697158528085137 -0.788962639379101 -0.803203614926416 -0.65698890693905 -0.583142436547179 -0.699990040083606 -0.645626005501834 -0.582102264326566 -0.655247910922616 -0.685659024192295 -0.661612977313643 -0.773226122134081 -0.6899853561208 -0.646602180970255 -0.809203273914761 -0.706440435668436 -0.734702885496606 -0.681422850921885 -0.76581897076433 -0.704192159911947 -0.722816271874534 -0.623247340515254 -0.690174505119127 -0.655407621660954 -0.676584830717541 -0.731064448354914 -0.729077772647252 -0.804951276705944 -0.815359236611472
1 "walkingupstairs" 0.27476385407961 -0.0177533661801591 -0.109227748566479 -0.494452255163071 -0.378274042961279 -0.500694727748656 0.73561525424026 -0.0387558864510026 0.0188720039232143 -0.962148066474026 -0.95063285061039 -0.933414737863636 0.0779223324673539 0.0110496980993974 -0.00301452529112662 -0.532935235547286 -0.50397411999758 -0.679338119755299 -0.0328625279437987 -0.0699002187399078 0.0871273543965679 -0.640752612899286 -0.599793155468636 -0.570129873052909 -0.0994776620675065 -0.0428396436743442 -0.0557741481076818 -0.661004779723117 -0.711231327114416 -0.667675061865175 -0.425581130779714 -0.469405836522701 -0.425581130779714 -0.469405836522701 -0.544648957765604 -0.513216635321416 -0.502095633572883 -0.570380648328299 -0.688172159496493 -0.703829401523117 -0.514882316730935 -0.412689313390156 -0.558163702939773 -0.488406716396195 -0.401201684887831 -0.512190818849734 -0.55819852575424 -0.529201329907071 -0.653355192858896 -0.549114793564957 -0.510682597209117 -0.704316092793532 -0.578968429794091 -0.616585967452838 -0.550384729603506 -0.662877502838247 -0.596472974366812 -0.618285594736558 -0.459207133407221 -0.559872103483377 -0.507733022461299 -0.525284102098539 -0.605830952033052 -0.624521710735338 -0.704281417940039 -0.725555667235779
1 "walkingdownstairs" 0.273505198051113 -0.0174911682591443 -0.110055296499123 -0.524652276831969 -0.399823830727013 -0.489966342407229 0.706269410832097 -0.00836448299023284 0.0541564625846473 -0.96418577659474 -0.950821751279164 -0.932580229979096 0.0789436369636076 0.00925713454694775 -0.00379509940913554 -0.552469498949454 -0.511301225318813 -0.681324028940863 -0.0313334533559744 -0.0760748809492852 0.0882925394808631 -0.650345907696022 -0.565962275574417 -0.57905055905354 -0.0959024032237269 -0.0399668441405394 -0.0545668764049629 -0.660060432289953 -0.695990999340256 -0.685620894999461 -0.436275082737044 -0.511735822269528 -0.436275082737044 -0.511735822269528 -0.553857146774896 -0.534816509905239 -0.502471005706291 -0.564068095705529 -0.681526266426972 -0.696466881405421 -0.543803349871881 -0.432114818277755 -0.560643404881605 -0.518632844785287 -0.422527327157451 -0.495750808910405 -0.578681201344343 -0.5400527538782 -0.659252664316183 -0.565901129264855 -0.513353079916994 -0.702455750208422 -0.588363315156305 -0.601025603035806 -0.569810793628739 -0.672062686777114 -0.552750976043223 -0.622370629787997 -0.496406168563567 -0.599010486942549 -0.52814172453178 -0.547461609077384 -0.605349664148564 -0.614716747991504 -0.701642249400081 -0.712391740563115
1 "sitting" 0.275568845504868 -0.0177414809158866 -0.10783186193436 -0.67670006759146 -0.595679790813797 -0.703989079983519 0.645367446243394 -0.00737375276072323 0.0748176175533866 -0.970209120688456 -0.956257555493741 -0.945255561873435 0.0776860581208971 0.00733371191024478 -0.00521828695466829 -0.716877821359319 -0.68450159166178 -0.824587845140473 -0.0303629264097956 -0.0742987470337643 0.0862249965647357 -0.767535517632684 -0.76429470728025 -0.714045839624979 -0.0962168713625452 -0.0394814976399889 -0.0534040345997914 -0.782636757276147 -0.848908470161335 -0.783860292930834 -0.631294666958206 -0.664718410700556 -0.631294666958206 -0.664718410700556 -0.725766646184075 -0.709540685118428 -0.680881860267594 -0.729138610025939 -0.818608202878303 -0.83558382521975 -0.693984419623018 -0.621751909794715 -0.747844640226586 -0.671195494262726 -0.609154300730876 -0.705737645924896 -0.730160568544993 -0.701741153781314 -0.811847764714882 -0.728792468614186 -0.687703315505911 -0.836183895821558 -0.728734289792768 -0.786868447974061 -0.70554742486057 -0.781443693446662 -0.755607490521558 -0.744993075269889 -0.667346438573992 -0.716811915826147 -0.703871335699305 -0.719166817374298 -0.763961820607441 -0.75484581046662 -0.837611584149513 -0.845310360027816
1 "standing" 0.274956016352625 -0.0182004991135686 -0.109616556026115 -0.581970999392081 -0.474181257548886 -0.598873417468585 0.735058812259923 -0.0829095715537631 0.0492306224777145 -0.965652182161332 -0.954254862640205 -0.942117907472471 0.0802055369629129 0.00500374443540269 -0.00350377957202113 -0.623213820220173 -0.605568278234539 -0.75408365426605 -0.0303924099904738 -0.075552544181402 0.0815251750382586 -0.715532162399744 -0.679865902892247 -0.611789851793214 -0.0967748858482266 -0.0426615218131114 -0.0524907417252689 -0.734125475035787 -0.782960476336812 -0.724902318253521 -0.521652806683732 -0.570076965874475 -0.521652806683732 -0.570076965874475 -0.638749743333182 -0.613031578733963 -0.58542447170694 -0.653075029389398 -0.756970598628681 -0.775344654566364 -0.600576740534059 -0.514952693108361 -0.649971726910243 -0.576291591561428 -0.488363917780064 -0.604871193838745 -0.639287250961965 -0.624378223274846 -0.73299016646959 -0.640807023220652 -0.612427405079014 -0.773973598518502 -0.664572243886812 -0.699334374218086 -0.611096050042318 -0.73360481916178 -0.673308202364648 -0.650400575815941 -0.566696766933099 -0.640099447055634 -0.60394460005331 -0.628180746469981 -0.687151338308259 -0.692675772678041 -0.774115239356146 -0.793709739173003
1 "laying" 0.27520091227489 -0.0174567088498146 -0.107766967935654 -0.686817704179837 -0.604990392043857 -0.699963138469944 0.719013454458986 0.0133259251972511 0.103106476026575 -0.972138828860363 -0.96032328710144 -0.944449003006888 0.0810911837445272 0.00504818663530507 -0.00437814565349925 -0.711436742575892 -0.671298300108191 -0.822019293596243 -0.0316313075489167 -0.0695652557116531 0.0885981548893926 -0.777808946600751 -0.748309016995993 -0.726292059507514 -0.0960908434384577 -0.0455671711873638 -0.0538001431600564 -0.77958590921841 -0.842989172660175 -0.784243069673575 -0.64060215237933 -0.672652766093112 -0.64060215237933 -0.672652766093112 -0.718890282591259 -0.702555291512461 -0.686139758833413 -0.731576934391359 -0.815946428814026 -0.832465019620664 -0.696797044568597 -0.621685678225304 -0.744187651786287 -0.684225545521891 -0.622358570228973 -0.701572827977207 -0.723434361833876 -0.689557843055191 -0.80676659836149 -0.725208737529161 -0.674319302156969 -0.836032822242329 -0.736553354512962 -0.774699038876018 -0.715865247688478 -0.792334254462743 -0.737680879637758 -0.756160389864746 -0.671386349011046 -0.725671139442455 -0.696317630999462 -0.712890990005573 -0.7626102345335 -0.75866580905886 -0.834925615020539 -0.841527841740764
3 "walking" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3 "walkingupstairs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3 "walkingdownstairs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3 "sitting" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
